GLOBAL_ID,y_true
0,0.0
1,1.0
2,4.0
3,4.0
4,3.0
5,5.0
6,1.0
7,0.0
8,3.0
9,5.0
10,1.0
11,5.0
12,0.0
13,4.0
14,5.0
15,5.0
16,0.0
17,3.0
18,4.0
19,4.0
20,1.0
21,2.0
22,4.0
23,5.0
24,4.0
25,2.0
26,2.0
27,3.0
28,4.0
29,5.0
30,1.0
31,0.0
32,2.0
33,4.0
34,4.0
35,5.0
36,4.0
37,2.0
38,2.0
39,2.0
40,0.0
41,1.0
42,0.0
43,2.0
44,5.0
45,4.0
46,3.0
47,3.0
48,0.0
49,5.0
50,0.0
51,0.0
52,3.0
53,3.0
54,2.0
55,3.0
56,5.0
57,1.0
58,3.0
59,4.0
60,3.0
61,3.0
62,1.0
63,3.0
64,4.0
65,5.0
66,5.0
67,1.0
68,2.0
69,0.0
70,5.0
71,1.0
72,5.0
73,5.0
74,4.0
75,3.0
76,3.0
77,0.0
78,0.0
79,5.0
80,4.0
81,3.0
82,2.0
83,4.0
84,0.0
85,2.0
86,3.0
87,2.0
88,5.0
89,4.0
90,3.0
91,5.0
92,0.0
93,1.0
94,5.0
95,3.0
96,3.0
97,1.0
98,5.0
99,2.0
100,1.0
101,4.0
102,2.0
103,0.0
104,1.0
105,1.0
106,2.0
107,0.0
108,4.0
109,4.0
110,5.0
111,0.0
