GLOBAL_ID,y_true
0,2.0
1,3.0
2,1.0
3,5.0
4,5.0
5,0.0
6,5.0
7,5.0
8,1.0
9,2.0
10,3.0
11,5.0
12,4.0
13,5.0
14,4.0
15,5.0
16,0.0
17,1.0
18,1.0
19,1.0
20,0.0
21,3.0
22,5.0
23,3.0
24,3.0
25,3.0
26,5.0
27,3.0
28,1.0
29,4.0
30,1.0
31,5.0
32,1.0
33,1.0
34,0.0
35,3.0
36,5.0
37,3.0
38,5.0
39,2.0
40,0.0
41,4.0
42,3.0
43,4.0
44,5.0
45,1.0
46,1.0
47,3.0
48,0.0
49,1.0
50,4.0
51,4.0
52,3.0
53,2.0
54,0.0
55,1.0
56,4.0
57,2.0
58,1.0
59,0.0
60,0.0
61,2.0
62,4.0
63,0.0
64,1.0
65,0.0
66,4.0
67,3.0
68,1.0
69,1.0
70,5.0
71,1.0
72,5.0
73,0.0
74,4.0
75,0.0
76,0.0
77,0.0
78,5.0
79,4.0
80,1.0
81,4.0
82,2.0
83,1.0
84,0.0
85,0.0
86,5.0
87,4.0
88,5.0
89,3.0
90,0.0
91,3.0
92,2.0
93,0.0
94,3.0
95,1.0
96,5.0
97,4.0
98,3.0
99,5.0
100,3.0
101,4.0
102,4.0
103,2.0
104,3.0
105,0.0
106,2.0
107,1.0
108,5.0
109,0.0
110,4.0
111,4.0
112,1.0
113,2.0
114,2.0
115,0.0
116,2.0
117,0.0
118,0.0
119,0.0
120,4.0
121,3.0
122,3.0
123,5.0
124,5.0
125,2.0
126,0.0
127,5.0
128,1.0
129,0.0
130,3.0
131,4.0
132,4.0
133,2.0
134,4.0
135,2.0
136,3.0
137,1.0
138,0.0
139,4.0
140,3.0
141,3.0
142,0.0
143,1.0
144,5.0
145,2.0
146,1.0
147,5.0
148,2.0
149,0.0
150,2.0
151,0.0
152,4.0
153,3.0
154,3.0
155,5.0
156,0.0
157,2.0
158,3.0
159,2.0
160,5.0
161,2.0
162,2.0
163,3.0
164,1.0
165,2.0
166,3.0
167,4.0
168,0.0
169,4.0
170,0.0
171,1.0
172,2.0
173,0.0
174,3.0
175,1.0
176,3.0
177,5.0
178,2.0
179,5.0
180,1.0
181,2.0
182,0.0
183,2.0
184,5.0
185,2.0
186,3.0
187,2.0
188,0.0
189,5.0
190,0.0
191,2.0
192,1.0
193,1.0
194,5.0
195,5.0
196,4.0
197,4.0
198,1.0
199,3.0
200,2.0
201,0.0
202,5.0
203,1.0
204,3.0
205,4.0
206,5.0
207,5.0
208,4.0
209,1.0
210,3.0
211,0.0
212,1.0
213,5.0
214,4.0
215,0.0
216,1.0
217,4.0
218,3.0
219,5.0
220,5.0
