GLOBAL_ID,y_true
0,2.0
1,1.0
2,5.0
3,0.0
4,0.0
5,2.0
6,2.0
7,0.0
8,0.0
9,3.0
10,3.0
11,4.0
12,5.0
13,1.0
14,4.0
15,0.0
16,1.0
17,0.0
18,4.0
19,1.0
20,3.0
21,3.0
22,5.0
23,0.0
24,1.0
25,4.0
26,1.0
27,5.0
28,4.0
29,5.0
30,1.0
31,4.0
32,5.0
33,5.0
34,4.0
35,1.0
36,5.0
37,2.0
38,5.0
39,0.0
40,0.0
41,4.0
42,1.0
43,4.0
44,3.0
45,3.0
46,3.0
47,3.0
48,2.0
49,3.0
50,4.0
51,4.0
52,2.0
53,0.0
54,3.0
55,4.0
56,0.0
57,2.0
58,0.0
59,1.0
60,1.0
61,4.0
62,0.0
63,5.0
64,1.0
65,4.0
66,3.0
67,0.0
68,4.0
69,0.0
70,3.0
71,2.0
72,1.0
73,3.0
74,1.0
75,2.0
76,2.0
77,0.0
78,5.0
79,4.0
80,2.0
81,0.0
82,0.0
83,5.0
84,3.0
85,2.0
86,5.0
87,5.0
88,2.0
89,5.0
90,2.0
