GLOBAL_ID,y_true
0,1.0
1,0.0
2,4.0
3,1.0
4,2.0
5,5.0
6,0.0
7,1.0
8,0.0
9,0.0
10,1.0
11,1.0
12,4.0
13,4.0
14,5.0
15,0.0
16,3.0
17,2.0
18,4.0
19,0.0
20,5.0
21,0.0
22,4.0
23,2.0
24,3.0
25,2.0
26,5.0
27,3.0
28,0.0
29,5.0
30,0.0
31,2.0
32,5.0
33,5.0
34,0.0
35,0.0
36,5.0
37,1.0
38,0.0
39,3.0
40,2.0
41,5.0
42,3.0
43,5.0
44,4.0
45,0.0
46,4.0
47,2.0
48,3.0
49,4.0
50,1.0
51,2.0
52,3.0
53,1.0
54,4.0
55,3.0
56,3.0
57,4.0
58,5.0
59,2.0
60,5.0
61,2.0
62,5.0
63,4.0
64,4.0
65,0.0
66,1.0
67,1.0
68,4.0
69,3.0
70,5.0
71,3.0
72,3.0
73,0.0
74,4.0
75,1.0
76,0.0
77,3.0
78,1.0
79,3.0
80,5.0
81,3.0
82,1.0
83,2.0
84,1.0
85,2.0
86,5.0
87,3.0
88,2.0
89,2.0
90,0.0
91,3.0
92,4.0
93,4.0
94,1.0
95,5.0
96,2.0
97,4.0
