GLOBAL_ID,y_true
0,4.0
1,4.0
2,3.0
3,3.0
4,1.0
5,4.0
6,4.0
7,4.0
8,4.0
9,2.0
10,5.0
11,5.0
12,4.0
13,5.0
14,5.0
15,0.0
16,5.0
17,5.0
18,2.0
19,0.0
20,2.0
21,4.0
22,2.0
23,1.0
24,1.0
25,5.0
26,2.0
27,4.0
28,5.0
29,3.0
30,1.0
31,3.0
32,1.0
33,5.0
34,1.0
35,0.0
36,1.0
37,3.0
38,5.0
39,4.0
40,1.0
41,0.0
42,1.0
43,0.0
44,2.0
45,5.0
46,5.0
47,1.0
48,1.0
49,5.0
50,3.0
51,0.0
52,1.0
53,4.0
54,3.0
55,3.0
56,3.0
57,2.0
58,3.0
59,3.0
60,0.0
61,1.0
62,3.0
63,1.0
64,4.0
65,5.0
66,4.0
67,0.0
68,3.0
69,3.0
70,0.0
71,4.0
72,0.0
73,3.0
74,0.0
75,5.0
76,4.0
77,4.0
78,2.0
79,1.0
80,1.0
81,3.0
82,1.0
83,2.0
84,4.0
85,0.0
86,1.0
87,4.0
88,0.0
89,0.0
90,0.0
91,0.0
92,5.0
93,2.0
94,1.0
95,4.0
96,5.0
97,1.0
98,1.0
99,0.0
100,5.0
101,0.0
102,4.0
103,3.0
104,0.0
105,5.0
106,0.0
107,2.0
108,0.0
109,3.0
110,1.0
111,5.0
112,3.0
113,5.0
114,3.0
115,4.0
116,5.0
117,4.0
118,4.0
119,5.0
120,2.0
121,0.0
122,0.0
123,4.0
124,2.0
125,1.0
126,5.0
127,3.0
128,0.0
129,3.0
130,2.0
131,2.0
132,2.0
133,0.0
134,0.0
135,0.0
136,5.0
137,1.0
138,0.0
139,4.0
140,5.0
141,4.0
142,2.0
143,4.0
144,2.0
145,4.0
146,1.0
147,0.0
148,5.0
149,3.0
150,3.0
151,3.0
152,0.0
153,1.0
154,5.0
155,2.0
156,1.0
157,4.0
158,2.0
159,0.0
160,2.0
161,0.0
162,4.0
163,3.0
164,4.0
165,3.0
166,5.0
167,0.0
168,2.0
169,3.0
170,2.0
171,5.0
172,3.0
173,2.0
174,4.0
175,3.0
176,1.0
177,2.0
178,3.0
179,5.0
180,0.0
181,4.0
182,0.0
183,1.0
184,4.0
185,2.0
186,0.0
187,3.0
188,1.0
189,3.0
190,5.0
191,2.0
192,4.0
193,1.0
194,2.0
195,0.0
196,2.0
197,5.0
198,2.0
199,3.0
200,2.0
201,0.0
202,5.0
203,0.0
204,2.0
205,1.0
206,1.0
207,5.0
208,4.0
209,5.0
210,4.0
211,4.0
212,1.0
213,3.0
214,2.0
215,0.0
216,3.0
217,5.0
218,1.0
219,3.0
220,4.0
221,5.0
222,5.0
223,5.0
224,4.0
225,1.0
226,3.0
