GLOBAL_ID,y_true
0,4.0
1,0.0
2,4.0
3,4.0
4,3.0
5,5.0
6,0.0
7,0.0
8,0.0
9,1.0
10,2.0
11,4.0
12,1.0
13,1.0
14,0.0
15,5.0
16,1.0
17,0.0
18,2.0
19,1.0
20,0.0
21,4.0
22,1.0
23,3.0
24,3.0
25,0.0
26,3.0
27,0.0
28,2.0
29,1.0
30,0.0
31,0.0
32,5.0
33,3.0
34,2.0
35,2.0
36,5.0
37,2.0
38,5.0
39,4.0
40,5.0
41,5.0
42,3.0
43,3.0
44,2.0
45,1.0
46,3.0
47,0.0
48,1.0
49,1.0
50,4.0
51,4.0
52,2.0
53,3.0
54,4.0
55,3.0
56,3.0
57,1.0
58,5.0
59,4.0
60,0.0
61,0.0
62,0.0
63,2.0
64,3.0
65,1.0
66,3.0
67,4.0
68,5.0
69,5.0
70,2.0
71,1.0
72,2.0
73,5.0
74,5.0
75,5.0
76,1.0
77,0.0
78,3.0
79,4.0
80,5.0
81,1.0
82,5.0
83,4.0
84,2.0
85,1.0
86,5.0
87,3.0
88,3.0
89,5.0
90,0.0
91,4.0
92,0.0
93,2.0
94,2.0
